From	Entry	Transmembrane	Transit peptide	Gene Ontology (cellular component)
Q86XK3	Q86XK3			nucleus [GO:0005634]; Swi5-Sfr1 complex [GO:0032798]
O13971	O13971			nucleolus [GO:0005730]
Q9USW9	Q9USW9			cytosol [GO:0005829]; nucleus [GO:0005634]; SAGA complex [GO:0000124]
Q8GXF8	Q8GXF8		"TRANSIT 1..32; /note=""Amyloplast""; /evidence=""ECO:0000255"""	amyloplast [GO:0009501]; cytoplasm [GO:0005737]
O94644	O94644			cytosol [GO:0005829]; nucleus [GO:0005634]
Q9LTQ0	Q9LTQ0			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9NZJ4	Q9NZJ4			axon [GO:0030424]; cell body fiber [GO:0070852]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
B7F8P5	B7F8P5			cytoplasm [GO:0005737]
Q9YHT2	Q9YHT2		"TRANSIT 1..38; /note=""Mitochondrion"""	mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) [GO:0005749]
P38345	P38345		"TRANSIT 1..32; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q10137	Q10137			cell division site [GO:0032153]; cell tip [GO:0051286]; nucleus [GO:0005634]; prospore membrane [GO:0005628]
O82265	O82265			chromatin [GO:0000785]; chromosome [GO:0005694]; cohesin complex [GO:0008278]; nucleus [GO:0005634]
Q8GXD9	Q8GXD9			cytoplasm [GO:0005737]; microtubule [GO:0005874]; nuclear microtubule [GO:0005880]; peroxisome [GO:0005777]
O74846	O74846			cell cortex of cell tip [GO:0051285]; cell cortex of growing cell tip [GO:1902716]; cell division site [GO:0032153]; cell septum [GO:0030428]; cell tip [GO:0051286]; cortical dynamic polarity patch [GO:0090726]; exocyst [GO:0000145]; lateral cell cortex [GO:0097575]; nucleus [GO:0005634]; spindle pole [GO:0000922]
Q9P0U3	Q9P0U3			cytoplasm [GO:0005737]; focal adhesion [GO:0005925]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q96HI0	Q96HI0			nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
O04130	O04130		"TRANSIT 1..49; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; nucleus [GO:0005634]
Q96FQ6	Q96FQ6			cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
F4IUY8	F4IUY8			nucleus [GO:0005634]
O74517	O74517			nucleolus [GO:0005730]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U2-type spliceosomal complex [GO:0005684]
I3L5V6	I3L5V6		"TRANSIT 1..27; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:Q6SZW1"""	anchoring junction [GO:0070161]; axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; microtubule [GO:0005874]; mitochondrion [GO:0005739]; synapse [GO:0045202]
Q9ZUZ3	Q9ZUZ3			cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q8IYX7	Q8IYX7			axonemal microtubule [GO:0005879]; centriole [GO:0005814]; ciliary basal body [GO:0036064]; cytoskeleton [GO:0005856]; motile cilium [GO:0031514]; sperm flagellum [GO:0036126]
Q9VWF2	Q9VWF2			brahma complex [GO:0035060]; cytoplasm [GO:0005737]; euchromatin [GO:0000791]; heterochromatin [GO:0000792]; nucleus [GO:0005634]; polytene chromosome [GO:0005700]; polytene chromosome chromocenter [GO:0005701]; RSF complex [GO:0031213]
Q08873	Q08873			actin cortical patch [GO:0030479]
P34706	P34706			nucleus [GO:0005634]; X chromosome [GO:0000805]
Q80UF4	Q80UF4			cell-cell junction [GO:0005911]; centriolar satellite [GO:0034451]; centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; photoreceptor cell cilium [GO:0097733]
Q04401	Q04401		"TRANSIT 1..12; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:19837041"""	mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q59UY7	Q59UY7			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9BVL4	Q9BVL4		"TRANSIT 1..115; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	chromosome [GO:0005694]; mitochondrion [GO:0005739]
Q02825	Q02825			endomembrane system [GO:0012505]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; tRNA-intron endonuclease complex [GO:0000214]
Q09353	Q09353			nuclear envelope [GO:0005635]; nucleus [GO:0005634]
P19955	P19955		"TRANSIT 1..8; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:2693936"""	mitochondrial alpha-ketoglutarate dehydrogenase complex [GO:0005947]; mitochondrial nucleoid [GO:0042645]; mitochondrial oxoglutarate dehydrogenase complex [GO:0009353]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739]
Q42404	Q42404			nuclear speck [GO:0016607]; nucleus [GO:0005634]; U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]
Q7L099	Q7L099			anchoring junction [GO:0070161]; axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; endomembrane system [GO:0012505]; filopodium [GO:0030175]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; perikaryon [GO:0043204]
Q9Y3V2	Q9Y3V2			cytoplasm [GO:0005737]; nucleus [GO:0005634]
O74889	O74889			cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear envelope [GO:0005635]; nuclear pore [GO:0005643]; nucleus [GO:0005634]; transcription export complex 2 [GO:0070390]
P89114	P89114			condensed nuclear chromosome [GO:0000794]; nuclear chromosome [GO:0000228]; Swi5-Sfr1 complex [GO:0032798]; Swi5-Swi2 complex [GO:0034974]
Q15020	Q15020			ASAP complex [GO:0061574]; Cajal body [GO:0015030]; cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q13228	Q13228			cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; fibrillar center [GO:0001650]; membrane [GO:0016020]; nucleolus [GO:0005730]
Q12158	Q12158			chromosome, centromeric region [GO:0000775]; cohesin complex [GO:0008278]; condensed nuclear chromosome [GO:0000794]; mitochondrion [GO:0005739]; nuclear mitotic cohesin complex [GO:0034990]; nucleus [GO:0005634]
P40541	P40541			chromatin [GO:0000785]; chromosome, centromeric region [GO:0000775]; cohesin complex [GO:0008278]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear meiotic cohesin complex [GO:0034991]; nuclear mitotic cohesin complex [GO:0034990]; nucleus [GO:0005634]
Q8LBZ7	Q8LBZ7		"TRANSIT 1..28; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex II [GO:0045273]; succinate dehydrogenase complex [GO:0045281]
Q3E785	Q3E785			mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9VWQ2	Q9VWQ2			cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]
F4JAU2	F4JAU2			cytoplasm [GO:0005737]; nuclear periphery [GO:0034399]; nucleus [GO:0005634]; transcription export complex 2 [GO:0070390]
P46674	P46674			cytoplasm [GO:0005737]; nuclear pore cytoplasmic filaments [GO:0044614]; nucleus [GO:0005634]; transcription export complex 2 [GO:0070390]
Q7TPM5	Q7TPM5			acrosomal vesicle [GO:0001669]; ciliary basal body [GO:0036064]; ciliary base [GO:0097546]; cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; nucleus [GO:0005634]; sperm flagellum [GO:0036126]
Q64380	Q64380		"TRANSIT 1..22; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q42588	Q42588			chloroplast [GO:0009507]; cytosol [GO:0005829]; nucleus [GO:0005634]
P40090	P40090			chromatin [GO:0000785]; SMC loading complex [GO:0032116]
Q9ZPX5	Q9ZPX5		"TRANSIT 1..29; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) [GO:0005749]; mitochondrion [GO:0005739]; respiratory chain complex II [GO:0045273]
Q08230	Q08230		"TRANSIT 1..35; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:19837041"""	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9SX85	Q9SX85			cytoskeleton [GO:0005856]; cytosol [GO:0005829]; exocyst [GO:0000145]; extracellular exosome [GO:0070062]; phragmoplast [GO:0009524]; plasma membrane [GO:0005886]
Q03088	Q03088			cell cortex [GO:0005938]; cell periphery [GO:0071944]; cellular bud [GO:0005933]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]
P40688	P40688			nucleus [GO:0005634]
F4JJT9	F4JJT9			chloroplast [GO:0009507]; cytosol [GO:0005829]; mitochondrion [GO:0005739]
Q9UTB2	Q9UTB2		"TRANSIT 1..42; /note=""Mitochondrion""; /evidence=""ECO:0000250"""	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
H6TFZ4	H6TFZ4			cytoplasm [GO:0005737]; membrane [GO:0016020]
Q05471	Q05471			chromatin [GO:0000785]; cytosol [GO:0005829]; nucleus [GO:0005634]; Swr1 complex [GO:0000812]
P53937	P53937			mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]; small ribosomal subunit [GO:0015935]
Q5JTZ9	Q5JTZ9		"TRANSIT 1..23; /note=""Mitochondrion""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03133"""	mitochondrion [GO:0005739]
Q9FFC7	Q9FFC7		"TRANSIT 1..?; /note=""Chloroplast and mitochondrion""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03134"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; mitochondrion [GO:0005739]
Q70IV5	Q70IV5			adherens junction [GO:0005912]; costamere [GO:0043034]; intermediate filament [GO:0005882]; intermediate filament cytoskeleton [GO:0045111]; membrane [GO:0016020]; neurofilament cytoskeleton [GO:0060053]; sarcolemma [GO:0042383]; Z disc [GO:0030018]
O48593	O48593		"TRANSIT 1..?; /note=""Chloroplast and mitochondrion""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; mitochondrion [GO:0005739]
Q8CC35	Q8CC35			actin cytoskeleton [GO:0015629]; bicellular tight junction [GO:0005923]; cell periphery [GO:0071944]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; Schaffer collateral - CA1 synapse [GO:0098685]; spine apparatus [GO:0097444]; stress fiber [GO:0001725]; Z disc [GO:0030018]
Q7Z992	Q7Z992			ESCRT I complex [GO:0000813]; late endosome membrane [GO:0031902]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]
Q15468	Q15468			centriole [GO:0005814]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; procentriole replication complex [GO:0120099]
Q9S713	Q9S713		"TRANSIT 1..45; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast thylakoid membrane [GO:0009535]; thylakoid membrane [GO:0042651]
P36011	P36011			nucleus [GO:0005634]
Q9S850	Q9S850			cytosol [GO:0005829]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]
O82266	O82266			Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; nucleolus [GO:0005730]
Q6PI48	Q6PI48		"TRANSIT 1..47; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]
Q99PK0	Q99PK0			catalytic step 2 spliceosome [GO:0071013]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; post-mRNA release spliceosomal complex [GO:0071014]; Prp19 complex [GO:0000974]; U2-type catalytic step 2 spliceosome [GO:0071007]
O94445	O94445		"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrial degradosome [GO:0045025]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q8L960	Q8L960		"TRANSIT 1..35; /note=""Chloroplast""; /evidence=""ECO:0000255"""	amyloplast [GO:0009501]; chloroplast [GO:0009507]
Q8VZL6	Q8VZL6			NuA4 histone acetyltransferase complex [GO:0035267]; nucleus [GO:0005634]; Swr1 complex [GO:0000812]
P09547	P09547			chromatin [GO:0000785]; nucleus [GO:0005634]; SWI/SNF complex [GO:0016514]
O94242	O94242		"TRANSIT 1..30; /note=""Mitochondrion""; /evidence=""ECO:0000305"""	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9XEA0	Q9XEA0		"TRANSIT 1..?; /note=""Chloroplast and mitochondrion""; /evidence=""ECO:0000305"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]; mitochondrion [GO:0005739]
O74765	O74765		"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9Y7Y8	Q9Y7Y8			cytosol [GO:0005829]
Q9P371	Q9P371			cell division site [GO:0032153]; cytoplasm [GO:0005737]; endosome [GO:0005768]; membrane [GO:0016020]
B2RQL2	B2RQL2			cell cortex [GO:0005938]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P11101	P11101			nucleolus [GO:0005730]; nucleosome [GO:0000786]; nucleus [GO:0005634]
Q9D2F5	Q9D2F5			mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q9ULQ0	Q9ULQ0			cytoplasm [GO:0005737]; cytosol [GO:0005829]
B6H2G9	B6H2G9			nucleus [GO:0005634]
Q9V877	Q9V877			cytoplasm [GO:0005737]; kinesin complex [GO:0005871]; meiotic spindle midzone [GO:1990385]; microtubule [GO:0005874]; microtubule associated complex [GO:0005875]; nucleus [GO:0005634]; spindle midzone [GO:0051233]; spindle pole [GO:0000922]
Q9SMX1	Q9SMX1		"TRANSIT 1..56; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrial degradosome [GO:0045025]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q80U70	Q80U70			chromatin silencing complex [GO:0005677]; ESC/E(Z) complex [GO:0035098]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-DNA complex [GO:0032993]; ribonucleoprotein complex [GO:1990904]; sex chromatin [GO:0001739]
Q90WN7	Q90WN7			chromosome, centromeric region [GO:0000775]; nucleolus [GO:0005730]
Q505B8	Q505B8			central element [GO:0000801]; chromosome [GO:0005694]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; synaptonemal complex [GO:0000795]
F4IPY2	F4IPY2		"TRANSIT 1..?; /note=""Chloroplast and mitochondrion""; /evidence=""ECO:0000305"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
Q505J8	Q505J8			cytoplasm [GO:0005737]; phenylalanine-tRNA ligase complex [GO:0009328]
O82413	O82413		"TRANSIT 1..?; /note=""Chloroplast and mitochondrion""; /evidence=""ECO:0000305"""	chloroplast [GO:0009507]; mitochondrion [GO:0005739]
Q10210	Q10210			cytosol [GO:0005829]; nucleus [GO:0005634]; Swr1 complex [GO:0000812]
Q9FHW2	Q9FHW2			nuclear speck [GO:0016607]; nucleus [GO:0005634]; Swr1 complex [GO:0000812]
P39706	P39706			chromosome, telomeric region [GO:0000781]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]
O14350	O14350			chromatin [GO:0000785]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; replication fork protection complex [GO:0031298]
Q8K3D3	Q8K3D3			nucleus [GO:0005634]; Swi5-Sfr1 complex [GO:0032798]; Swi5-Swi2 complex [GO:0034974]
Q9CUU3	Q9CUU3			lateral element [GO:0000800]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; synaptonemal complex [GO:0000795]
Q63520	Q63520			chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; condensed chromosome [GO:0000793]; condensed chromosome, centromeric region [GO:0000779]; condensed nuclear chromosome [GO:0000794]; lateral element [GO:0000800]; male germ cell nucleus [GO:0001673]; nucleus [GO:0005634]; synaptonemal complex [GO:0000795]; transverse filament [GO:0000802]
O55207	O55207			anchoring junction [GO:0070161]; axon terminus [GO:0043679]; cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; extrinsic component of mitochondrial outer membrane [GO:0031315]; membrane raft [GO:0045121]; perinuclear region of cytoplasm [GO:0048471]; presynapse [GO:0098793]; ruffle membrane [GO:0032587]
Q96I59	Q96I59		"TRANSIT 1..14; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]
Q9NAD6	Q9NAD6			cytoplasm [GO:0005737]; nucleus [GO:0005634]
P32597	P32597			chromatin [GO:0000785]; chromosome, centromeric region [GO:0000775]; nucleus [GO:0005634]; RSC-type complex [GO:0016586]
Q24JL3	Q24JL3			cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]
O42874	O42874			cytoplasmic microtubule [GO:0005881]; cytosol [GO:0005829]; kinetochore [GO:0000776]; microtubule associated complex [GO:0005875]; microtubule cytoskeleton [GO:0015630]; microtubule organizing center [GO:0005815]; mitotic spindle [GO:0072686]; mitotic spindle midzone [GO:1990023]; mitotic spindle pole body [GO:0044732]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; spindle microtubule [GO:0005876]; static microtubule bundle [GO:0099070]
A0A0K0QSV4	A0A0K0QSV4			nucleus [GO:0005634]
Q1K6U0	Q1K6U0			nucleus [GO:0005634]
P46582	P46582			axon [GO:0030424]; cytoplasm [GO:0005737]; neuron projection [GO:0043005]; nucleus [GO:0005634]
P32580	P32580		"TRANSIT 1..25; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrial degradosome [GO:0045025]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9C5P4	Q9C5P4			chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; nucleus [GO:0005634]
F4K410	F4K410		"TRANSIT 1..58; /note=""Chloroplast""; /evidence=""ECO:0000305"""	chloroplast [GO:0009507]; ribonucleoprotein complex [GO:1990904]
Q9FEA2	Q9FEA2		"TRANSIT 1..39; /note=""Chloroplast and mitochondrion""; /evidence=""ECO:0000269|PubMed:25732537"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; mitochondrion [GO:0005739]; plastid [GO:0009536]
Q9SAK4	Q9SAK4		"TRANSIT 1..34; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9NQ55	Q9NQ55			nucleolus [GO:0005730]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]
O14470	O14470			chromatin [GO:0000785]; cytoplasm [GO:0005737]; RSC-type complex [GO:0016586]; SWI/SNF complex [GO:0016514]
O16259	O16259			chaperone complex [GO:0101031]; cytoplasm [GO:0005737]
P0DKL0	P0DKL0			nucleus [GO:0005634]
Q9FKW8	Q9FKW8			cytoplasm [GO:0005737]
Q62209	Q62209			central element [GO:0000801]; chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; condensed nuclear chromosome [GO:0000794]; lateral element [GO:0000800]; male germ cell nucleus [GO:0001673]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; synaptonemal complex [GO:0000795]; transverse filament [GO:0000802]
O13775	O13775			cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; methionyl glutamyl tRNA synthetase complex [GO:0017102]; nucleus [GO:0005634]; polysome [GO:0005844]
Q9USL3	Q9USL3			cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9LJE2	Q9LJE2		"TRANSIT 1..?; /note=""Chloroplast and mitochondrion""; /evidence=""ECO:0000305"""	chloroplast [GO:0009507]; cytosol [GO:0005829]; mitochondrion [GO:0005739]
Q8MSU4	Q8MSU4			histone locus body [GO:0035363]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleus [GO:0005634]; tricellular tight junction [GO:0061689]
Q9US47	Q9US47			cytosol [GO:0005829]
P50526	P50526			cell cortex of cell tip [GO:0051285]; cell cortex of growing cell tip [GO:1902716]; cell division site [GO:0032153]; cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q6Z2T8	Q6Z2T8		"TRANSIT 1..15; /note=""Chloroplast""; /evidence=""ECO:0000255"""	amyloplast [GO:0009501]; chloroplast [GO:0009507]
Q8WXE9	Q8WXE9			anchoring junction [GO:0070161]; clathrin-coated vesicle [GO:0030136]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; membrane [GO:0016020]; neuron projection [GO:0043005]; nucleolus [GO:0005730]; synaptic vesicle [GO:0008021]
P32579	P32579			chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q9HAC7	Q9HAC7		"TRANSIT 1..38; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrion [GO:0005739]
P36104	P36104			chromosome, telomeric region [GO:0000781]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]
P08153	P08153			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q8L785	Q8L785		"TRANSIT 1..50; /note=""Chloroplast and mitochondrion""; /evidence=""ECO:0000269|PubMed:25732537"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; mitochondrion [GO:0005739]
Q52KF3	Q52KF3			cell cortex [GO:0005938]; cleavage furrow [GO:0032154]; cytoplasmic vesicle membrane [GO:0030659]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; integral component of mitochondrial outer membrane [GO:0031307]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]
Q9U1K1	Q9U1K1			cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytoskeleton [GO:0005856]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
O95149	O95149			cytosol [GO:0005829]; NLS-dependent protein nuclear import complex [GO:0042564]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]
C6Y4C9	C6Y4C9			cell tip [GO:0051286]; Golgi to plasma membrane transport vesicle [GO:0070319]; meiotic spindle pole body [GO:0035974]
P32573	P32573			peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]
Q653T6	Q653T6		"TRANSIT 1..31; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrion [GO:0005739]; transferase complex [GO:1990234]
O82491	O82491			euchromatin [GO:0000791]; FACT complex [GO:0035101]; nucleolus [GO:0005730]; nucleus [GO:0005634]
O00267	O00267			DSIF complex [GO:0032044]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
O48917	O48917		"TRANSIT 1..86; /note=""Chloroplast""; /evidence=""ECO:0000305"""	chloroplast [GO:0009507]; plasma membrane [GO:0005886]
P25379	P25379			mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]
P28159	P28159			CSL-Notch-Mastermind transcription factor complex [GO:1990433]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; polytene chromosome [GO:0005700]; protein-containing complex [GO:0032991]; RNA polymerase II transcription repressor complex [GO:0090571]; transcription repressor complex [GO:0017053]
Q12104	Q12104			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9D495	Q9D495			central element [GO:0000801]; chromosome [GO:0005694]; nucleoplasm [GO:0005654]; synaptonemal complex [GO:0000795]
B5KM66	B5KM66			central element [GO:0000801]; chromosome [GO:0005694]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q06836	Q06836			Golgi membrane [GO:0000139]; mitochondrion [GO:0005739]
Q9HCH5	Q9HCH5			cytoplasm [GO:0005737]; exocytic vesicle [GO:0070382]; extrinsic component of plasma membrane [GO:0019897]; melanosome [GO:0042470]; membrane [GO:0016020]; plasma membrane [GO:0005886]
F4IFC5	F4IFC5		"TRANSIT 1..?; /note=""Chloroplast and mitochondrion""; /evidence=""ECO:0000305"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; mitochondrion [GO:0005739]
P48527	P48527		"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q7Z7C8	Q7Z7C8			nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; transcription factor TFIID complex [GO:0005669]
P53230	P53230			extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9UK61	Q9UK61			heterochromatin [GO:0000792]; nucleoplasm [GO:0005654]
P10636	P10636			axolemma [GO:0030673]; axon [GO:0030424]; axon cytoplasm [GO:1904115]; cell body [GO:0044297]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; extracellular region [GO:0005576]; glial cell projection [GO:0097386]; growth cone [GO:0030426]; main axon [GO:0044304]; membrane raft [GO:0045121]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; mitochondrion [GO:0005739]; neurofibrillary tangle [GO:0097418]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; nuclear periphery [GO:0034399]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; somatodendritic compartment [GO:0036477]; tubulin complex [GO:0045298]
Q99426	Q99426			cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]
Q8BYJ6	Q8BYJ6			cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; vesicle [GO:0031982]
Q8L5R3	Q8L5R3			plasmodesma [GO:0009506]
Q12788	Q12788			90S preribosome [GO:0030686]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]
Q6SJ95	Q6SJ95			cytoplasm [GO:0005737]; female germ cell nucleus [GO:0001674]; nucleus [GO:0005634]
